,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
333,Galactic Civilizations II: Dark Avatar,PC,14-Feb-07,2007-02-14,2007
334,Mass Effect,Xbox360,20-Nov-07,2007-11-20,2007
335,The Operative: No One Lives Forever,PC,11-Nov-00,2000-11-11,2000
336,Crusader Kings III,PC,01-Sep-20,2020-09-01,2020
337,Forza Motorsport 4,Xbox360,11-Oct-11,2011-10-11,2011
338,Resident Evil,PlayStation,30-Mar-96,1996-03-30,1996
339,Battlefield 2,PC,21-Jun-05,2005-06-21,2005
340,God of War Collection,PlayStation3,17-Nov-09,2009-11-17,2009
341,Celeste,PlayStation4,25-Jan-18,2018-01-25,2018
342,Madden NFL 2005,PlayStation2,09-Aug-04,2004-08-09,2004
343,Tony Hawk's Pro Skater 3,GameCube,13-Nov-01,2001-11-13,2001
344,Street Fighter IV,PC,01-Jul-09,2009-07-01,2009
345,Fallout 3,PC,28-Oct-08,2008-10-28,2008
346,Batman: Arkham City,PC,21-Nov-11,2011-11-21,2011
347,Fez,PC,01-May-13,2013-05-01,2013
348,Planescape: Torment,PC,14-Dec-99,1999-12-14,1999
349,Gears of War 3,Xbox360,20-Sep-11,2011-09-20,2011
350,Killzone 2,PlayStation3,27-Feb-09,2009-02-27,2009
351,Neverwinter Nights,PC,16-Jun-02,2002-06-16,2002
352,Batman: Arkham Asylum,PlayStation3,25-Aug-09,2009-08-25,2009
353,Castlevania: Aria of Sorrow,GameBoyAdvance,06-May-03,2003-05-06,2003
354,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,PC,30-Sep-02,2002-09-30,2002
355,INSIDE,PlayStation4,23-Aug-16,2016-08-23,2016
356,Legacy of Kain: Soul Reaver,PlayStation,16-Aug-99,1999-08-16,1999
357,Dragon Age: Origins,PC,03-Nov-09,2009-11-03,2009
358,Golden Sun,GameBoyAdvance,11-Nov-01,2001-11-11,2001
359,Rayman Legends,PlayStation3,03-Sep-13,2013-09-03,2013
360,F1 2020,XboxOne,10-Jul-20,2020-07-10,2020
361,Mark of the Ninja,PC,16-Oct-12,2012-10-16,2012
362,Disco Elysium,PC,15-Oct-19,2019-10-15,2019
363,World Soccer Winning Eleven 8 International,PlayStation2,01-Feb-05,2005-02-01,2005
364,SteamWorld Heist: Ultimate Edition,Switch,28-Dec-17,2017-12-28,2017
365,The Legend of Zelda: A Link Between Worlds,3DS,22-Nov-13,2013-11-22,2013
366,Spelunky 2,PC,29-Sep-20,2020-09-29,2020
367,NieR: Automata - Game of the YoRHa Edition,PlayStation4,26-Feb-19,2019-02-26,2019
368,Dark Souls II,PC,25-Apr-14,2014-04-25,2014
369,Castlevania: Circle of the Moon,GameBoyAdvance,10-Jun-01,2001-06-10,2001
370,Resident Evil 2,PlayStation4,25-Jan-19,2019-01-25,2019
371,Far Cry 3,Xbox360,04-Dec-12,2012-12-04,2012
372,Dark Souls II,PlayStation3,11-Mar-14,2014-03-11,2014
