,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
15038,Blacklight: Retribution,PlayStation4,15-Nov-13,2013-11-15,2013
15039,Mega Man Star Force 3: Black Ace,DS,30-Jun-09,2009-06-30,2009
15040,Black Sigil: Blade of the Exiled,DS,09-Jun-09,2009-06-09,2009
15041,Shining Soul,GameBoyAdvance,23-Sep-03,2003-09-23,2003
15042,The Castle Doctrine,PC,29-Jan-14,2014-01-29,2014
15043,Battle of the Bands,Wii,21-Apr-08,2008-04-21,2008
15044,Tharsis,Switch,11-Apr-20,2020-04-11,2020
15045,NBA ShootOut 2004,PlayStation2,29-Oct-03,2003-10-29,2003
15046,Casper: Spirit Dimensions,PlayStation2,30-Sep-01,2001-09-30,2001
15047,Romance of the Three Kingdoms XIV,PC,15-Jan-20,2020-01-15,2020
15048,Backbreaker,PlayStation3,01-Jun-10,2010-06-01,2010
15049,The Dark Crystal: Age of Resistance Tactics,XboxOne,04-Feb-20,2020-02-04,2020
15050,SolSeraph,XboxOne,10-Jul-19,2019-07-10,2019
15051,Truberbrook,Switch,17-Apr-19,2019-04-17,2019
15052,DualPenSports,3DS,21-Jun-11,2011-06-21,2011
15053,Dynasty Warriors: Gundam 3,PlayStation3,28-Jun-11,2011-06-28,2011
15054,Commandos Strike Force,PlayStation2,04-Apr-06,2006-04-04,2006
15055,Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,30-Aug-10,2010-08-30,2010
15056,Enemy Engaged 2,PC,10-Jul-07,2007-07-10,2007
15057,God Mode,PC,19-Apr-13,2013-04-19,2013
15058,1954: Alcatraz,PC,11-Mar-14,2014-03-11,2014
15059,Star Ocean: Integrity and Faithlessness,PlayStation4,28-Jun-16,2016-06-28,2016
15060,WWE SmackDown vs. Raw 2009,DS,09-Nov-08,2008-11-09,2008
15061,Bee Simulator,PC,14-Nov-19,2019-11-14,2019
15062,Rayman DS,DS,24-Mar-05,2005-03-24,2005
15063,Cornerstone: The Song of Tyrim,PC,26-Apr-16,2016-04-26,2016
15064,The Black Mirror,PC,20-Oct-03,2003-10-20,2003
15065,Enter the Matrix,PC,14-May-03,2003-05-14,2003
15066,Punch King,GameBoyAdvance,15-May-02,2002-05-15,2002
15067,Monster Jam Maximum Destruction,GameBoyAdvance,27-Mar-02,2002-03-27,2002
15068,Way of the Samurai 4,PlayStation3,21-Aug-12,2012-08-21,2012
15069,Drawn to Life: The Next Chapter,Wii,27-Oct-09,2009-10-27,2009
15070,Gas Guzzlers: Combat Carnage,PC,18-May-12,2012-05-18,2012
15071,ZHEROS,PC,15-Feb-16,2016-02-15,2016
15072,Dungeons & Dragons Tactics,PSP,14-Aug-07,2007-08-14,2007
15073,Silent Hill: Book of Memories,PlayStationVita,16-Oct-12,2012-10-16,2012
15074,Beijing 2008 - The Official Video Game of the Olympic Games,PlayStation3,08-Jul-08,2008-07-08,2008
15075,Worms: Battle Islands,Wii,23-Nov-10,2010-11-23,2010
15076,Mario Tennis: Ultra Smash,WiiU,20-Nov-15,2015-11-20,2015
15077,TRON: Evolution,PlayStation3,07-Dec-10,2010-12-07,2010
15078,Front Mission Evolved,Xbox360,28-Sep-10,2010-09-28,2010
15079,One Piece: World Seeker,PlayStation4,15-Mar-19,2019-03-15,2019
15080,Jupiter & Mars,PlayStation4,22-Apr-19,2019-04-22,2019
15081,Eagle Eye Golf,PlayStation2,10-Oct-06,2006-10-10,2006
15082,APB (All Points Bulletin),PC,29-Jun-10,2010-06-29,2010
15083,Ford Racing 3,Xbox,22-Mar-05,2005-03-22,2005
15084,Spider-Man: Edge of Time,PlayStation3,04-Oct-11,2011-10-04,2011
15085,Attractio,PlayStation4,19-Jan-16,2016-01-19,2016
15086,Jackass the Game,PlayStation2,24-Sep-07,2007-09-24,2007
15087,The Tales of Bearsworth Manor: Puzzling Pages,Wii,21-Jun-10,2010-06-21,2010
15088,Shelter 2,PC,09-Mar-15,2015-03-09,2015
15089,Front Mission Evolved,PlayStation3,28-Sep-10,2010-09-28,2010
15090,Tomb Raider: Legend,DS,14-Nov-06,2006-11-14,2006
15091,L.A. Rush,PlayStation2,11-Oct-05,2005-10-11,2005
15092,Rhem,PC,28-Jun-03,2003-06-28,2003
15093,Evil Dead: A Fistful of Boomstick,Xbox,17-Jun-03,2003-06-17,2003
15094,Inside Pitch 2003,Xbox,20-May-03,2003-05-20,2003
15095,Jane's Attack Squadron,PC,22-Mar-02,2002-03-22,2002
15096,Triple Play Baseball,PC,04-Mar-01,2001-03-04,2001
15097,Odyssey: The Search for Ulysses,PC,02-Jan-01,2001-01-02,2001
15098,TRON: Evolution,Xbox360,07-Dec-10,2010-12-07,2010
15099,Rush'n Attack,Xbox360,23-May-07,2007-05-23,2007
15100,The Church in the Darkness,XboxOne,02-Aug-19,2019-08-02,2019
15101,Assassin's Creed II: Battle of Forli,PlayStation3,28-Jan-10,2010-01-28,2010
15102,Wheelman,PC,24-Mar-09,2009-03-24,2009
15103,Over the Hedge,PlayStation2,09-May-06,2006-05-09,2006
15104,Marine Park Empire,PC,22-Sep-05,2005-09-22,2005
15105,Samurai Western,PlayStation2,07-Jun-05,2005-06-07,2005
15106,Kyn,PC,28-Jul-15,2015-07-28,2015
15107,Secrets of Raetikon,PC,07-Jan-14,2014-01-07,2014
15108,ShellShock: Nam '67,PlayStation2,14-Sep-04,2004-09-14,2004
15109,Nickelodeon Kart Racers 2: Grand Prix,PlayStation4,06-Oct-20,2020-10-06,2020
15110,Skellboy,Switch,30-Jan-20,2020-01-30,2020
15111,The Council - Episode 4: Burning Bridges,PC,25-Sep-18,2018-09-25,2018
15112,Defenders of Ardania,PC,14-Mar-12,2012-03-14,2012
15113,Aliens in the Attic,DS,04-Aug-09,2009-08-04,2009
15114,Dread Nautical,PC,29-Apr-20,2020-04-29,2020
15115,Resident Evil Outbreak File #2,PlayStation2,26-Apr-05,2005-04-26,2005
15116,Super Army War,GameBoyAdvance,22-Feb-05,2005-02-22,2005
15117,Spider-Man: Friend or Foe,PSP,02-Oct-07,2007-10-02,2007
15118,Singles: Flirt Up Your Life,PC,05-Oct-04,2004-10-05,2004
15119,Micro Machines World Series,PC,29-Jun-17,2017-06-29,2017
15120,Clockwork Empires,PC,26-Oct-16,2016-10-26,2016
15121,Bleach: Shattered Blade,Wii,09-Oct-07,2007-10-09,2007
15122,John Daly's ProStroke Golf,PlayStation3,05-Oct-10,2010-10-05,2010
15123,Untold Legends: Dark Kingdom,PlayStation3,13-Nov-06,2006-11-13,2006
15124,Conflict: Vietnam,PlayStation2,05-Oct-04,2004-10-05,2004
15125,Bleach: Soul Resurreccion,PlayStation3,03-Aug-11,2011-08-03,2011
15126,htoL#NiQ: The Firefly Diary,PlayStationVita,24-Feb-15,2015-02-24,2015
15127,Fortix,PSP,24-Nov-09,2009-11-24,2009
15128,Horizon,PC,02-Jul-13,2013-07-02,2013
15129,Boogie,DS,27-Nov-07,2007-11-27,2007
15130,Yanya Caballista: City Skater,PlayStation2,01-Oct-01,2001-10-01,2001
15131,Way of the Samurai 3,PlayStation3,13-Oct-09,2009-10-13,2009
15132,Jackass the Game,PSP,27-Sep-07,2007-09-27,2007
15133,Lost Planet 3,Xbox360,27-Aug-13,2013-08-27,2013
15134,Tennis World Tour 2,XboxOne,22-Sep-20,2020-09-22,2020
15135,The Suicide of Rachel Foster,PlayStation4,09-Sep-20,2020-09-09,2020
15136,Sword Art Online: Alicization Lycoris,PlayStation4,10-Jul-20,2020-07-10,2020
15137,Memoranda,PC,25-Jan-17,2017-01-25,2017
15138,Pokemon Rumble World,3DS,08-Apr-15,2015-04-08,2015
15139,Dynasty Warriors 8 Empires,XboxOne,24-Feb-15,2015-02-24,2015
15140,Atomic Ninjas,PlayStation3,08-Oct-13,2013-10-08,2013
15141,God Mode,Xbox360,19-Apr-13,2013-04-19,2013
15142,BreakQuest,PSP,18-Mar-10,2010-03-18,2010
15143,Hotel Giant 2,PC,27-Jan-10,2010-01-27,2010
15144,Bee Movie Game,DS,30-Oct-07,2007-10-30,2007
15145,Hired Guns: The Jagged Edge,PC,19-Oct-07,2007-10-19,2007
15146,The Sims 2,GameBoyAdvance,24-Oct-05,2005-10-24,2005
15147,Trivial Pursuit Unhinged,Xbox,24-Mar-04,2004-03-24,2004
15148,Egg Mania: Eggstreme Madness,Xbox,11-Sep-02,2002-09-11,2002
15149,Virtua Striker 2002,GameCube,20-May-02,2002-05-20,2002
15150,CART Fury Championship Racing,PlayStation2,25-May-01,2001-05-25,2001
15151,Q*Bert,Dreamcast,30-Nov-00,2000-11-30,2000
15152,PGA European Tour,Nintendo64,15-Jun-00,2000-06-15,2000
15153,Drakengard 2,PlayStation2,14-Feb-06,2006-02-14,2006
15154,Blade Kitten,Xbox360,22-Sep-10,2010-09-22,2010
15155,Ninja Gaiden 3,Xbox360,20-Mar-12,2012-03-20,2012
15156,Pet Alien: An Intergalactic Puzzlepalooza,DS,28-Aug-07,2007-08-28,2007
15157,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,01-Nov-05,2005-11-01,2005
15158,Alone in the Dark,Xbox360,23-Jun-08,2008-06-23,2008
15159,Pro Evolution Soccer 2008,DS,11-Mar-08,2008-03-11,2008
15160,Assassin's Creed II: Battle of Forli,Xbox360,28-Jan-10,2010-01-28,2010
15161,MySims Kingdom,DS,28-Oct-08,2008-10-28,2008
15162,Hunter's Legacy,PC,19-Jul-16,2016-07-19,2016
15163,Space Hulk,PC,15-Aug-13,2013-08-15,2013
15164,WRC Powerslide,Xbox360,08-Mar-13,2013-03-08,2013
15165,The Church in the Darkness,PlayStation4,02-Aug-19,2019-08-02,2019
15166,Urban Trial Freestyle,PC,18-Sep-13,2013-09-18,2013
15167,Cars Race-O-Rama,Wii,12-Oct-09,2009-10-12,2009
15168,Classic NES Series: Metroid,GameBoyAdvance,25-Oct-04,2004-10-25,2004
15169,Victoria: An Empire Under the Sun,PC,18-Nov-03,2003-11-18,2003
15170,X2: Wolverine's Revenge,PlayStation2,14-Apr-03,2003-04-14,2003
15171,Whirl Tour,PlayStation2,25-Nov-02,2002-11-25,2002
15172,Wreckless: The Yakuza Missions,GameCube,13-Nov-02,2002-11-13,2002
15173,Takeda,PC,14-Nov-01,2001-11-14,2001
15174,ESPN X Games Skateboarding,PlayStation2,13-Aug-01,2001-08-13,2001
15175,Fullmetal Alchemist: Dual Sympathy,DS,12-Dec-06,2006-12-12,2006
15176,Kao the Kangaroo Round 2,PlayStation2,29-Mar-06,2006-03-29,2006
15177,The Fast and the Furious,PSP,24-Apr-07,2007-04-24,2007
15178,Tom Clancy's Ghost Recon: Breakpoint,PC,04-Oct-19,2019-10-04,2019
15179,Dynasty Warriors 7,Xbox360,29-Mar-11,2011-03-29,2011
15180,Code Lyoko: Quest for Infinity,Wii,16-Nov-07,2007-11-16,2007
15181,Ritual: Crown of Horns,Switch,07-Nov-19,2019-11-07,2019
15182,Bridge Constructor,XboxOne,21-Aug-15,2015-08-21,2015
15183,Blaster Master: Overdrive,Wii,08-Feb-10,2010-02-08,2010
15184,Cars Mater-National Championship,Xbox360,29-Oct-07,2007-10-29,2007
15185,Dawnspire: Prelude,PC,03-Apr-07,2007-04-03,2007
15186,V-Rally 4,PlayStation4,11-Sep-18,2018-09-11,2018
15187,Assassin's Creed: Altair's Chronicles,DS,05-Feb-08,2008-02-05,2008
15188,Emergency 3,PC,06-Apr-06,2006-04-06,2006
15189,Samurai Warriors 2,PlayStation2,19-Sep-06,2006-09-19,2006
15190,TMNT,Xbox360,20-Mar-07,2007-03-20,2007
15191,Dead by Daylight,XboxOne,20-Jun-17,2017-06-20,2017
15192,There Came an Echo,PC,24-Feb-15,2015-02-24,2015
15193,Senran Kagura 2: Deep Crimson,3DS,15-Sep-15,2015-09-15,2015
15194,Fishing Master,Wii,18-Sep-07,2007-09-18,2007
15195,Iron Phoenix,Xbox,25-Mar-05,2005-03-25,2005
15196,Heritage of Kings: The Settlers,PC,24-Feb-05,2005-02-24,2005
15197,The Legend of Heroes III: Song of the Ocean,PSP,23-Jan-07,2007-01-23,2007
15198,Space Hulk: Deathwing,PC,14-Dec-16,2016-12-14,2016
15199,Mitsurugi Kamui Hikae,PlayStation4,16-Feb-16,2016-02-16,2016
15200,Castlevania: Lords of Shadow 2,PC,25-Feb-14,2014-02-25,2014
15201,Bang Bang Racing,Xbox360,06-Jun-12,2012-06-06,2012
15202,Madagascar: Escape 2 Africa,PlayStation3,04-Nov-08,2008-11-04,2008
15203,Ribbit King,PlayStation2,15-Jun-04,2004-06-15,2004
15204,Highland Warriors,PC,20-Jan-03,2003-01-20,2003
15205,Fighter Maker 2,PlayStation2,12-Nov-02,2002-11-12,2002
15206,The Terminator: Dawn of Fate,PlayStation2,16-Sep-02,2002-09-16,2002
15207,Street Hoops,Xbox,12-Aug-02,2002-08-12,2002
15208,Star Wars: Obi-Wan,Xbox,19-Dec-01,2001-12-19,2001
15209,Dragon Ball Z: Ultimate Tenkaichi,PlayStation3,25-Oct-11,2011-10-25,2011
15210,Mega Man Star Force: Leo,DS,07-Aug-07,2007-08-07,2007
15211,Bladestorm: Nightmare,PlayStation4,17-Mar-15,2015-03-17,2015
15212,The Lord of the Rings: Aragorn's Quest,PlayStation3,14-Sep-10,2010-09-14,2010
15213,Venture Kid,Switch,02-May-19,2019-05-02,2019
15214,Toy Stunt Bike,3DS,26-Jun-14,2014-06-26,2014
15215,Conflict: Denied Ops,PC,08-Feb-08,2008-02-08,2008
15216,SimAnimals,Wii,21-Jan-09,2009-01-21,2009
15217,Samurai Shodown V,Xbox,18-Jan-06,2006-01-18,2006
15218,Lost in Blue 2,DS,20-Mar-07,2007-03-20,2007
15219,Tom Clancy's Splinter Cell Essentials,PSP,21-Mar-06,2006-03-21,2006
15220,Lost Empire: Immortals,PC,11-Mar-08,2008-03-11,2008
15221,ReCore,PC,13-Sep-16,2016-09-13,2016
15222,Tom Clancy's Ghost Recon 2,PlayStation2,30-Nov-04,2004-11-30,2004
15223,Desert Child,PlayStation4,11-Dec-18,2018-12-11,2018
15224,Goat Simulator,PlayStation4,11-Aug-15,2015-08-11,2015
15225,Disney/Pixar Cars 2,DS,21-Jun-11,2011-06-21,2011
15226,Maelstrom (2007),PC,20-Feb-07,2007-02-20,2007
15227,Scarface: Money. Power. Respect.,PSP,08-Oct-06,2006-10-08,2006
15228,Delta Force: Black Hawk Down,PlayStation2,26-Jul-05,2005-07-26,2005
15229,Sword Art Online: Alicization Lycoris,XboxOne,10-Jul-20,2020-07-10,2020
15230,Transformers: Revenge of the Fallen,PC,23-Jun-09,2009-06-23,2009
15231,Marvel Nemesis: Rise of the Imperfects,PSP,04-Oct-05,2005-10-04,2005
15232,Marvel Heroes,PC,03-Jun-13,2013-06-03,2013
15233,Prime World: Defenders,PC,05-Jun-13,2013-06-05,2013
15234,Wizards of Waverly Place,DS,25-Aug-09,2009-08-25,2009
15235,Shaun Palmer's Pro Snowboarder,GameBoyAdvance,27-Nov-01,2001-11-27,2001
15236,Heavy Metal: Geomatrix,Dreamcast,13-Sep-01,2001-09-13,2001
15237,Pitfall: The Mayan Adventure,GameBoyAdvance,10-Jun-01,2001-06-10,2001
15238,Cel Damage HD,PlayStation4,22-Apr-14,2014-04-22,2014
15239,Game of Thrones,PC,15-May-12,2012-05-15,2012
15240,Adventures to Go!,PSP,27-Oct-09,2009-10-27,2009
15241,Diplomacy,PC,04-Oct-05,2005-10-04,2005
15242,Tenchu: Fatal Shadows,PlayStation2,15-Feb-05,2005-02-15,2005
15243,Ninja Gaiden 3,PlayStation3,20-Mar-12,2012-03-20,2012
15244,Fate/Extra,PSP,01-Nov-11,2011-11-01,2011
15245,Constantine,PlayStation2,14-Feb-05,2005-02-14,2005
15246,Dark Rose Valkyrie,PlayStation4,06-Jun-17,2017-06-06,2017
15247,The Dwarves,XboxOne,01-Dec-16,2016-12-01,2016
15248,Flyhunter Origins,PlayStationVita,09-Dec-14,2014-12-09,2014
15249,Bladestorm: The Hundred Years' War,PlayStation3,06-Nov-07,2007-11-06,2007
15250,1-2-Switch,Switch,03-Mar-17,2017-03-03,2017
15251,The Lord of the Rings: Aragorn's Quest,Wii,14-Sep-10,2010-09-14,2010
15252,Starsky & Hutch,Xbox,09-Sep-03,2003-09-09,2003
15253,Zapper: One Wicked Cricket!,GameBoyAdvance,05-Nov-02,2002-11-05,2002
15254,Gore: Ultimate Soldier,PC,05-Jun-02,2002-06-05,2002
15255,Darkstone,PlayStation,28-Jan-01,2001-01-28,2001
15256,Of Light and Darkness: The Prophecy,PC,31-Mar-98,1998-03-31,1998
15257,GoldenEye: Rogue Agent,DS,13-Jun-05,2005-06-13,2005
15258,Vigilante 8: Arcade,Xbox360,05-Nov-08,2008-11-05,2008
15259,Overlord Minions,DS,23-Jun-09,2009-06-23,2009
15260,Rocky Balboa,PSP,13-Mar-07,2007-03-13,2007
15261,Touhou: Scarlet Curiosity,PlayStation4,22-Sep-16,2016-09-22,2016
15262,Scrap Garden,PC,06-May-16,2016-05-06,2016
15263,Monster Rancher EVO,PlayStation2,13-Apr-06,2006-04-13,2006
15264,The Caligula Effect,PlayStationVita,02-May-17,2017-05-02,2017
15265,Formula Fusion,PC,01-Jun-17,2017-06-01,2017
15266,Furry Legends,Wii,19-Jul-10,2010-07-19,2010
15267,Xiaolin Showdown,DS,28-Nov-06,2006-11-28,2006
15268,Futurama,Xbox,14-Aug-03,2003-08-14,2003
15269,Carnival Games VR,PlayStation4,28-Oct-16,2016-10-28,2016
15270,Time Machine VR,PC,19-May-16,2016-05-19,2016
15271,Aegis Wing,Xbox360,16-May-07,2007-05-16,2007
15272,BlowOut,PlayStation2,10-Nov-03,2003-11-10,2003
15273,TiQal,Xbox360,26-Mar-08,2008-03-26,2008
15274,Cartoon Network: Punch Time Explosion,3DS,02-Jun-11,2011-06-02,2011
15275,Wii Play,Wii,12-Feb-07,2007-02-12,2007
15276,Elex,PlayStation4,17-Oct-17,2017-10-17,2017
15277,Omega Quintet,PlayStation4,28-Apr-15,2015-04-28,2015
15278,Marvel Nemesis: Rise of the Imperfects,Xbox,20-Sep-05,2005-09-20,2005
15279,Mega Man X7,PlayStation2,14-Oct-03,2003-10-14,2003
15280,Army of Two: The Devil's Cartel,PlayStation3,26-Mar-13,2013-03-26,2013
15281,Romancing SaGa,PlayStation2,11-Oct-05,2005-10-11,2005
15282,Vicious Circle,PC,13-Aug-19,2019-08-13,2019
15283,Viviette,Switch,20-Dec-18,2018-12-20,2018
15284,SINNER: Sacrifice for Redemption,Switch,18-Oct-18,2018-10-18,2018
15285,This is the Police 2,Switch,25-Sep-18,2018-09-25,2018
15286,The Long Reach,Switch,15-Mar-18,2018-03-15,2018
15287,Pixel Heroes: Byte & Magic,XboxOne,03-Feb-17,2017-02-03,2017
15288,Duke Nukem Forever: The Doctor Who Cloned Me,Xbox360,13-Dec-11,2011-12-13,2011
15289,Raving Rabbids: Alive & Kicking,Xbox360,08-Nov-11,2011-11-08,2011
15290,Hero of Sparta,PSP,01-Oct-09,2009-10-01,2009
15291,ARKANOID Live!,Xbox360,06-May-09,2009-05-06,2009
15292,Over the Hedge: Hammy Goes Nuts,PSP,21-Nov-06,2006-11-21,2006
15293,Defender,Xbox360,15-Nov-06,2006-11-15,2006
15294,SD Gundam Force: Showdown!,PlayStation2,11-Oct-04,2004-10-11,2004
15295,ShellShock: Nam '67,Xbox,14-Sep-04,2004-09-14,2004
15296,Jack the Ripper,PC,29-Jan-04,2004-01-29,2004
15297,X2: Wolverine's Revenge,Xbox,15-Apr-03,2003-04-15,2003
15298,Heroes of Might and Magic IV: Winds of War,PC,23-Feb-03,2003-02-23,2003
15299,Star Wars: Jedi Power Battles,GameBoyAdvance,21-Nov-02,2002-11-21,2002
15300,Star Wars: Jedi Power Battles,GameBoyAdvance,21-Nov-02,2002-11-21,2002
15301,BMX XXX,Xbox,10-Nov-02,2002-11-10,2002
15302,RLH: Run Like Hell,PlayStation2,27-Sep-02,2002-09-27,2002
15303,Mobile Suit Gundam: Journey to Jaburo,PlayStation2,06-Aug-01,2001-08-06,2001
15304,The King of Fighters XII,PlayStation3,24-Jul-09,2009-07-24,2009
15305,Mario Party: Island Tour,3DS,22-Nov-13,2013-11-22,2013
15306,Transformers: Dark of the Moon,PlayStation3,14-Jun-11,2011-06-14,2011
15307,Kirby Battle Royale,3DS,19-Jan-18,2018-01-19,2018
15308,Typoman,WiiU,19-Nov-15,2015-11-19,2015
15309,Datura,PlayStation3,08-May-12,2012-05-08,2012
15310,Naruto Shippuden: Kizuna Drive,PSP,22-Mar-11,2011-03-22,2011
15311,Stranded Sails: Explorers of the Cursed Islands,Switch,17-Oct-19,2019-10-17,2019
15312,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PC,15-Jan-10,2010-01-15,2010
15313,Undercover: Operation Wintersun,PC,28-Aug-07,2007-08-28,2007
15314,Dirge of Cerberus: Final Fantasy VII,PlayStation2,15-Aug-06,2006-08-15,2006
15315,Fade to Silence,PC,30-Apr-19,2019-04-30,2019
15316,OK K.O.! Let's Play Heroes,XboxOne,23-Jan-18,2018-01-23,2018
15317,Kuon,PlayStation2,07-Dec-04,2004-12-07,2004
15318,Dragon Ball: Raging Blast 2,Xbox360,02-Nov-10,2010-11-02,2010
15319,Sonic Forces,PlayStation4,07-Nov-17,2017-11-07,2017
15320,Fantastic 4,GameBoyAdvance,27-Jun-05,2005-06-27,2005
15321,Group S Challenge,Xbox,11-Nov-03,2003-11-11,2003
15322,Teenage Mutant Ninja Turtles,GameCube,31-Oct-03,2003-10-31,2003
15323,The Cameron Files: Pharaoh's Curse,PC,29-Oct-02,2002-10-29,2002
15324,Tactical Ops: Assault on Terror,PC,24-Apr-02,2002-04-24,2002
15325,Wolfenstein 3D,GameBoyAdvance,31-Mar-02,2002-03-31,2002
15326,Supercar Street Challenge,PlayStation2,22-Oct-01,2001-10-22,2001
15327,Dragon Valor,PlayStation,16-Oct-00,2000-10-16,2000
15328,Curious George,Xbox,01-Feb-06,2006-02-01,2006
15329,Landit Bandit,PlayStation3,13-Jul-10,2010-07-13,2010
15330,"Medieval Lords: Build, Defend, Expand",PC,24-Nov-05,2005-11-24,2005
15331,Sacred 3,PC,31-Jul-14,2014-07-31,2014
15332,TRON: Evolution,PC,07-Dec-10,2010-12-07,2010
15333,Need for Speed ProStreet,PSP,18-Feb-08,2008-02-18,2008
15334,Lifeless Planet: Premier Edition,XboxOne,13-May-15,2015-05-13,2015
15335,Call of Duty: Modern Warfare 3 - Defiance,DS,08-Nov-11,2011-11-08,2011
15336,Driver '76,PSP,08-May-07,2007-05-08,2007
15337,Little Dragons Cafe,PlayStation4,24-Aug-18,2018-08-24,2018
15338,Dynasty Warriors 9,PC,13-Feb-18,2018-02-13,2018
15339,Micro Machines World Series,XboxOne,30-Jun-17,2017-06-30,2017
15340,Frontline: Fields of Thunder,PC,09-Apr-07,2007-04-09,2007
15341,Sinner: Sacrifice for Redemption,PlayStation4,18-Oct-18,2018-10-18,2018
15342,Ghost Mania,Wii,03-Jan-11,2011-01-03,2011
15343,Space Chimps,Xbox360,15-Jul-08,2008-07-15,2008
15344,NBA,PSP,16-Mar-05,2005-03-16,2005
15345,Dynasty Warriors 7,PlayStation3,29-Mar-11,2011-03-29,2011
15346,Akiba's Trip: Undead & Undressed,PlayStation3,12-Aug-14,2014-08-12,2014
15347,Dragon Ball Z: Harukanaru Densetsu,DS,05-Jun-07,2007-06-05,2007
15348,Star Wars: Lethal Alliance,DS,14-Dec-06,2006-12-14,2006
15349,Armored Core: Nine Breaker,PlayStation2,13-Sep-05,2005-09-13,2005
15350,Special Forces: Team X,Xbox360,06-Feb-13,2013-02-06,2013
15351,Sea Life Safari,Xbox360,18-Jun-08,2008-06-18,2008
15352,FireStarter,PC,05-Mar-04,2004-03-05,2004
15353,Robin Hood: Defender of the Crown,Xbox,11-Nov-03,2003-11-11,2003
15354,The Princess Guide,Switch,26-Mar-19,2019-03-26,2019
15355,Faery: Legends of Avalon,PlayStation3,12-Jan-11,2011-01-12,2011
15356,Sonic Forces,Switch,07-Nov-17,2017-11-07,2017
15357,CrimeCraft,PC,25-Aug-09,2009-08-25,2009
15358,Naruto: Path of the Ninja,DS,23-Oct-07,2007-10-23,2007
15359,Destiny 2: Curse of Osiris,XboxOne,05-Dec-17,2017-12-05,2017
15360,Shadow Puppeteer,WiiU,28-Jan-16,2016-01-28,2016
15361,Of Orcs and Men,PlayStation3,16-Oct-12,2012-10-16,2012
15362,Body and Brain Connection,Xbox360,08-Feb-11,2011-02-08,2011
15363,Hunted: The Demon's Forge,PlayStation3,31-May-11,2011-05-31,2011
15364,The Getaway: Black Monday,PlayStation2,11-Jan-05,2005-01-11,2005
15365,Stranger Things 3: The Game,PlayStation4,04-Jul-19,2019-07-04,2019
15366,Rayman Raving Rabbids 2,DS,13-Nov-07,2007-11-13,2007
15367,Micro Machines V4,PC,27-Jun-06,2006-06-27,2006
15368,Rampage: Total Destruction,GameCube,24-Apr-06,2006-04-24,2006
15369,Dark Void,PC,19-Jan-10,2010-01-19,2010
15370,Empire Earth II: The Art of Supremacy,PC,14-Feb-06,2006-02-14,2006
15371,NASCAR 08,PlayStation3,23-Jul-07,2007-07-23,2007
15372,Mobile Suit Gundam: Extreme VS-Force,PlayStationVita,12-Jul-16,2016-07-12,2016
15373,Pirates of the Caribbean: At World's End,PC,22-May-07,2007-05-22,2007
15374,Necropolis,PlayStation4,04-Oct-16,2016-10-04,2016
15375,Uno,XboxOne,16-Aug-16,2016-08-16,2016
15376,Goliath,PC,12-May-16,2016-05-12,2016
15377,Zotrix,PlayStation4,08-Dec-15,2015-12-08,2015
15378,Destiny Connect: Tick-Tock Travelers,Switch,22-Oct-19,2019-10-22,2019
15379,DreamWorks Shrek Forever After,PlayStation3,18-May-10,2010-05-18,2010
15380,Showdown: Legends of Wrestling,Xbox,22-Jun-04,2004-06-22,2004
15381,Invincible Tiger: The Legend of Han Tao,PlayStation3,27-Aug-09,2009-08-27,2009
15382,Boogie,Wii,07-Aug-07,2007-08-07,2007
15383,Corvette,PlayStation2,09-Mar-04,2004-03-09,2004
15384,Spawn: Armageddon,Xbox,21-Nov-03,2003-11-21,2003
15385,The King of Route 66,PlayStation2,18-Mar-03,2003-03-18,2003
15386,The Partners,PC,09-Sep-02,2002-09-09,2002
15387,Endgame,PlayStation2,03-Jun-02,2002-06-03,2002
15388,ESPN Great Outdoor Games Bass 2002,GameBoyAdvance,29-Nov-01,2001-11-29,2001
15389,"Hey You, Pikachu!",Nintendo64,05-Nov-00,2000-11-05,2000
15390,NFL QB Club 2001,Nintendo64,23-Aug-00,2000-08-23,2000
15391,Spy Hunter 2,PlayStation2,20-Nov-03,2003-11-20,2003
15392,Mobile Suit Gundam: Gundam vs. Zeta Gundam,PlayStation2,28-Jun-05,2005-06-28,2005
15393,Puzzle Chronicles,Xbox360,21-Apr-10,2010-04-21,2010
15394,Mobile Suit Gundam Seed: Battle Assault,GameBoyAdvance,10-Aug-04,2004-08-10,2004
15395,The LEGO Movie 2 Videogame,PlayStation4,26-Feb-19,2019-02-26,2019
15396,Skater XL,PlayStation4,28-Jul-20,2020-07-28,2020
15397,Captain America: Super Soldier,Wii,19-Jul-11,2011-07-19,2011
15398,SOL: Exodus,PC,25-Jan-12,2012-01-25,2012
15399,Vector Thrust,PC,02-Jul-15,2015-07-02,2015
15400,Judge Dredd: Dredd VS Death,Xbox,27-Feb-05,2005-02-27,2005
15401,The Lord of the Rings: Conquest,PC,13-Jan-09,2009-01-13,2009
15402,Chronicles of Mystery: Curse of the Ancient Temple,DS,02-Nov-09,2009-11-02,2009
15403,Destruction Derby Arenas,PlayStation2,01-Apr-04,2004-04-01,2004
