name,platform,r-date,developer,genre,players
Virtua Tennis,Dreamcast,08-Jun-00,Hitmaker,"Sports,Traditional,Tennis",No info
Rome: Total War,PC,22-Sep-04,CreativeAssembly,"Strategy,Real-Time,Historic,General,Historic",No Online Multiplayer
Forza Motorsport 3,Xbox360,27-Oct-09,Turn10,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 8 
Okami HD,PC,12-Dec-17,Capcom,"Action Adventure,General",No Online Multiplayer
Undertale,PC,15-Sep-15,tobyfox,"Role-Playing,General,Japanese-Style",No Online Multiplayer
Batman: Arkham Asylum,Xbox360,25-Aug-09,RocksteadyStudios,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer
Super Mario Sunshine,GameCube,25-Aug-02,Nintendo,"Action,Platformer,3D",1 Player
SSX 3,Xbox,20-Oct-03,EACanada,"Sports,Alternative,Snowboarding",02-Jan
SoulCalibur II,Xbox,27-Aug-03,Namco,"Action,Fighting,3D",02-Jan
Tony Hawk's Pro Skater,PlayStation,31-Aug-99,NeversoftEntertainment,"Sports,Alternative,Skateboarding",02-Jan
Thief: The Dark Project,PC,30-Nov-98,LookingGlassStudios,"Action Adventure,Fantasy,General,Fantasy",1 Player
